,Unnamed: 0,Texto del Tweet,Autor,Fecha del Tweet,Favoritos,Retweets,Texto limpiado,POS tagged,SWN analysis
10,10,"Because we care a lot of your #feedback &amp; #questions, we've spesified #FAQs section at our #website to give you all the answers you're asking for 🤔❓Our #team is always there to meet your needs 😀🤍💡https://t.co/OmTe4TOvNe #coding #edtech #hardware #software #FAQ #100DaysOfCode https://t.co/5M4Tc9URg4",Aula_J2018,Mon Jun 20 18:00:04 +0000 2022,0,4,care lot feedback amp questions we ve spesified FAQs section our website give all answers re asking Our team always to meet your needs coding edtech hardware software FAQ DaysOfCode ,"[('care', 'n'), ('lot', 'n'), ('feedback', 'n'), ('amp', 'a'), ('questions', 'n'), ('spesified', 'a'), ('FAQs', 'n'), ('section', 'n'), ('website', 'a'), ('give', 'v'), ('answers', 'n'), ('asking', 'v'), ('team', 'n'), ('always', 'r'), ('meet', 'v'), ('needs', 'n'), ('coding', 'v'), ('edtech', 'n'), ('hardware', 'n'), ('software', 'n'), ('FAQ', 'n'), ('DaysOfCode', 'n')]",Neutral
11,11,"📨Do you have a pre-compiled #version of Hexabitz #firmware?
🙂👉https://t.co/g18tNh2ogb
#coding #PCB #automation #edtech #hardware #software #FAQ #IoT #Marketing #STEM #MakerEd #robotics #programmers #100DaysOfCode #Entertainment https://t.co/xJrBCI392B",Aula_J2018,Mon Jun 20 18:00:00 +0000 2022,0,7,you a pre compiled version Hexabitz firmware coding PCB automation edtech hardware software FAQ IoT Marketing STEM MakerEd robotics programmers DaysOfCode Entertainment ,"[('pre', 'n'), ('compiled', 'v'), ('version', 'n'), ('Hexabitz', 'n'), ('firmware', 'n'), ('coding', 'v'), ('PCB', 'n'), ('automation', 'n'), ('edtech', 'n'), ('hardware', 'n'), ('software', 'n'), ('FAQ', 'n'), ('IoT', 'n'), ('Marketing', 'n'), ('STEM', 'n'), ('MakerEd', 'n'), ('robotics', 'n'), ('programmers', 'n'), ('DaysOfCode', 'n'), ('Entertainment', 'n')]",Positive
12,12,Video: Here's The Story Behind The Cancelled Wii Plush Toy Game 'Wiiwaa' https://t.co/PoiJilzzPR #Repost #Wii #Hardware #Video https://t.co/rM4dtSLAuK,gmatrick,Mon Jun 20 17:56:26 +0000 2022,0,6,Video s Story Behind Cancelled Wii Plush Toy Game Wiiwaa Repost Wii Hardware Video ,"[('Video', 'n'), ('Story', 'n'), ('Behind', 'n'), ('Cancelled', 'n'), ('Wii', 'n'), ('Plush', 'n'), ('Toy', 'n'), ('Game', 'n'), ('Wiiwaa', 'n'), ('Repost', 'n'), ('Wii', 'n'), ('Hardware', 'n'), ('Video', 'n')]",Neutral
13,13,Video: Here's The Story Behind The Cancelled Wii Plush Toy Game 'Wiiwaa' https://t.co/PoiJilzzPR #Repost #Wii #Hardware #Video https://t.co/rM4dtSLAuK,kadosho,Mon Jun 20 17:40:34 +0000 2022,0,6,Video s Story Behind Cancelled Wii Plush Toy Game Wiiwaa Repost Wii Hardware Video ,"[('Video', 'n'), ('Story', 'n'), ('Behind', 'n'), ('Cancelled', 'n'), ('Wii', 'n'), ('Plush', 'n'), ('Toy', 'n'), ('Game', 'n'), ('Wiiwaa', 'n'), ('Repost', 'n'), ('Wii', 'n'), ('Hardware', 'n'), ('Video', 'n')]",Neutral
14,14,"We have your back for all your Events!
DM us today!

#software #technology #programming #tech #coding #developer #business #softwaredeveloper #programmer #javascript #python #java #computer #html #hardware #webdevelopment #tecnologia #code #webdeveloper #softwareengineer https://t.co/cq7wL9azJB",UtibeAbasiJacob,Mon Jun 20 17:39:34 +0000 2022,0,6,have back all Events DM us today software technology programming tech coding developer business softwaredeveloper programmer javascript python java computer html hardware webdevelopment tecnologia code webdeveloper softwareengineer ,"[('back', 'r'), ('Events', 'n'), ('DM', 'n'), ('us', None), ('today', 'n'), ('software', 'n'), ('technology', 'n'), ('programming', 'v'), ('tech', 'a'), ('coding', 'v'), ('developer', 'n'), ('business', 'n'), ('softwaredeveloper', 'v'), ('programmer', 'a'), ('javascript', 'n'), ('python', 'n'), ('java', 'n'), ('computer', 'n'), ('html', 'n'), ('hardware', 'n'), ('webdevelopment', 'a'), ('tecnologia', 'n'), ('code', 'n'), ('webdeveloper', None), ('softwareengineer', 'n')]",Negative
15,15,Video: Here's The Story Behind The Cancelled Wii Plush Toy Game 'Wiiwaa' https://t.co/PoiJilzzPR #Repost #Wii #Hardware #Video https://t.co/rM4dtSLAuK,Doctor_Cupcakes,Mon Jun 20 17:39:06 +0000 2022,0,6,Video s Story Behind Cancelled Wii Plush Toy Game Wiiwaa Repost Wii Hardware Video ,"[('Video', 'n'), ('Story', 'n'), ('Behind', 'n'), ('Cancelled', 'n'), ('Wii', 'n'), ('Plush', 'n'), ('Toy', 'n'), ('Game', 'n'), ('Wiiwaa', 'n'), ('Repost', 'n'), ('Wii', 'n'), ('Hardware', 'n'), ('Video', 'n')]",Neutral
16,16,"We have your back for all your Events!
DM us today!

#software #technology #programming #tech #coding #developer #business #softwaredeveloper #programmer #javascript #python #java #computer #html #hardware #webdevelopment #tecnologia #code #webdeveloper #softwareengineer https://t.co/cq7wL9azJB",JavaGeekBot,Mon Jun 20 17:38:49 +0000 2022,0,6,have back all Events DM us today software technology programming tech coding developer business softwaredeveloper programmer javascript python java computer html hardware webdevelopment tecnologia code webdeveloper softwareengineer ,"[('back', 'r'), ('Events', 'n'), ('DM', 'n'), ('us', None), ('today', 'n'), ('software', 'n'), ('technology', 'n'), ('programming', 'v'), ('tech', 'a'), ('coding', 'v'), ('developer', 'n'), ('business', 'n'), ('softwaredeveloper', 'v'), ('programmer', 'a'), ('javascript', 'n'), ('python', 'n'), ('java', 'n'), ('computer', 'n'), ('html', 'n'), ('hardware', 'n'), ('webdevelopment', 'a'), ('tecnologia', 'n'), ('code', 'n'), ('webdeveloper', None), ('softwareengineer', 'n')]",Negative
17,17,"We have your back for all your Events!
DM us today!

#software #technology #programming #tech #coding #developer #business #softwaredeveloper #programmer #javascript #python #java #computer #html #hardware #webdevelopment #tecnologia #code #webdeveloper #softwareengineer https://t.co/cq7wL9azJB",GoaiDev,Mon Jun 20 17:38:32 +0000 2022,0,6,have back all Events DM us today software technology programming tech coding developer business softwaredeveloper programmer javascript python java computer html hardware webdevelopment tecnologia code webdeveloper softwareengineer ,"[('back', 'r'), ('Events', 'n'), ('DM', 'n'), ('us', None), ('today', 'n'), ('software', 'n'), ('technology', 'n'), ('programming', 'v'), ('tech', 'a'), ('coding', 'v'), ('developer', 'n'), ('business', 'n'), ('softwaredeveloper', 'v'), ('programmer', 'a'), ('javascript', 'n'), ('python', 'n'), ('java', 'n'), ('computer', 'n'), ('html', 'n'), ('hardware', 'n'), ('webdevelopment', 'a'), ('tecnologia', 'n'), ('code', 'n'), ('webdeveloper', None), ('softwareengineer', 'n')]",Negative
18,18,"We have your back for all your Events!
DM us today!

#software #technology #programming #tech #coding #developer #business #softwaredeveloper #programmer #javascript #python #java #computer #html #hardware #webdevelopment #tecnologia #code #webdeveloper #softwareengineer https://t.co/cq7wL9azJB",rahul05ranjan,Mon Jun 20 17:38:32 +0000 2022,0,6,have back all Events DM us today software technology programming tech coding developer business softwaredeveloper programmer javascript python java computer html hardware webdevelopment tecnologia code webdeveloper softwareengineer ,"[('back', 'r'), ('Events', 'n'), ('DM', 'n'), ('us', None), ('today', 'n'), ('software', 'n'), ('technology', 'n'), ('programming', 'v'), ('tech', 'a'), ('coding', 'v'), ('developer', 'n'), ('business', 'n'), ('softwaredeveloper', 'v'), ('programmer', 'a'), ('javascript', 'n'), ('python', 'n'), ('java', 'n'), ('computer', 'n'), ('html', 'n'), ('hardware', 'n'), ('webdevelopment', 'a'), ('tecnologia', 'n'), ('code', 'n'), ('webdeveloper', None), ('softwareengineer', 'n')]",Negative
19,19,"We have your back for all your Events!
DM us today!

#software #technology #programming #tech #coding #developer #business #softwaredeveloper #programmer #javascript #python #java #computer #html #hardware #webdevelopment #tecnologia #code #webdeveloper #softwareengineer https://t.co/cq7wL9azJB",XeronBot,Mon Jun 20 17:38:31 +0000 2022,0,6,have back all Events DM us today software technology programming tech coding developer business softwaredeveloper programmer javascript python java computer html hardware webdevelopment tecnologia code webdeveloper softwareengineer ,"[('back', 'r'), ('Events', 'n'), ('DM', 'n'), ('us', None), ('today', 'n'), ('software', 'n'), ('technology', 'n'), ('programming', 'v'), ('tech', 'a'), ('coding', 'v'), ('developer', 'n'), ('business', 'n'), ('softwaredeveloper', 'v'), ('programmer', 'a'), ('javascript', 'n'), ('python', 'n'), ('java', 'n'), ('computer', 'n'), ('html', 'n'), ('hardware', 'n'), ('webdevelopment', 'a'), ('tecnologia', 'n'), ('code', 'n'), ('webdeveloper', None), ('softwareengineer', 'n')]",Negative
20,20,"Use Distractive Media to AMPLIFY your voter engagement!

#software #technology #programming #tech #coding #developer #business #softwaredeveloper #programmer #javascript #python #java #computer #html #hardware #webdevelopment #tecnologia #code #webdeveloper #softwareengineer https://t.co/92UXHue2UL",CodeAttBot,Mon Jun 20 17:37:32 +0000 2022,0,9,Use Distractive Media AMPLIFY voter engagement software technology programming tech coding developer business softwaredeveloper programmer javascript python java computer html hardware webdevelopment tecnologia code webdeveloper softwareengineer ,"[('Use', 'n'), ('Distractive', 'n'), ('Media', 'n'), ('AMPLIFY', 'n'), ('voter', 'n'), ('engagement', 'n'), ('software', 'n'), ('technology', 'n'), ('programming', 'v'), ('tech', 'a'), ('coding', 'v'), ('developer', 'n'), ('business', 'n'), ('softwaredeveloper', 'v'), ('programmer', 'a'), ('javascript', 'n'), ('python', 'n'), ('java', 'n'), ('computer', 'n'), ('html', 'n'), ('hardware', 'n'), ('webdevelopment', 'a'), ('tecnologia', 'n'), ('code', 'n'), ('webdeveloper', None), ('softwareengineer', 'n')]",Positive
21,21,"Use Distractive Media to AMPLIFY your voter engagement!

#software #technology #programming #tech #coding #developer #business #softwaredeveloper #programmer #javascript #python #java #computer #html #hardware #webdevelopment #tecnologia #code #webdeveloper #softwareengineer https://t.co/92UXHue2UL",CodingNinjaBOT,Mon Jun 20 17:37:15 +0000 2022,0,9,Use Distractive Media AMPLIFY voter engagement software technology programming tech coding developer business softwaredeveloper programmer javascript python java computer html hardware webdevelopment tecnologia code webdeveloper softwareengineer ,"[('Use', 'n'), ('Distractive', 'n'), ('Media', 'n'), ('AMPLIFY', 'n'), ('voter', 'n'), ('engagement', 'n'), ('software', 'n'), ('technology', 'n'), ('programming', 'v'), ('tech', 'a'), ('coding', 'v'), ('developer', 'n'), ('business', 'n'), ('softwaredeveloper', 'v'), ('programmer', 'a'), ('javascript', 'n'), ('python', 'n'), ('java', 'n'), ('computer', 'n'), ('html', 'n'), ('hardware', 'n'), ('webdevelopment', 'a'), ('tecnologia', 'n'), ('code', 'n'), ('webdeveloper', None), ('softwareengineer', 'n')]",Positive
22,22,"Use Distractive Media to AMPLIFY your voter engagement!

#software #technology #programming #tech #coding #developer #business #softwaredeveloper #programmer #javascript #python #java #computer #html #hardware #webdevelopment #tecnologia #code #webdeveloper #softwareengineer https://t.co/92UXHue2UL",DevRetweetBot,Mon Jun 20 17:37:02 +0000 2022,0,9,Use Distractive Media AMPLIFY voter engagement software technology programming tech coding developer business softwaredeveloper programmer javascript python java computer html hardware webdevelopment tecnologia code webdeveloper softwareengineer ,"[('Use', 'n'), ('Distractive', 'n'), ('Media', 'n'), ('AMPLIFY', 'n'), ('voter', 'n'), ('engagement', 'n'), ('software', 'n'), ('technology', 'n'), ('programming', 'v'), ('tech', 'a'), ('coding', 'v'), ('developer', 'n'), ('business', 'n'), ('softwaredeveloper', 'v'), ('programmer', 'a'), ('javascript', 'n'), ('python', 'n'), ('java', 'n'), ('computer', 'n'), ('html', 'n'), ('hardware', 'n'), ('webdevelopment', 'a'), ('tecnologia', 'n'), ('code', 'n'), ('webdeveloper', None), ('softwareengineer', 'n')]",Positive
23,23,"Use Distractive Media to AMPLIFY your voter engagement!

#software #technology #programming #tech #coding #developer #business #softwaredeveloper #programmer #javascript #python #java #computer #html #hardware #webdevelopment #tecnologia #code #webdeveloper #softwareengineer https://t.co/92UXHue2UL",JustLikeLupin,Mon Jun 20 17:36:47 +0000 2022,0,9,Use Distractive Media AMPLIFY voter engagement software technology programming tech coding developer business softwaredeveloper programmer javascript python java computer html hardware webdevelopment tecnologia code webdeveloper softwareengineer ,"[('Use', 'n'), ('Distractive', 'n'), ('Media', 'n'), ('AMPLIFY', 'n'), ('voter', 'n'), ('engagement', 'n'), ('software', 'n'), ('technology', 'n'), ('programming', 'v'), ('tech', 'a'), ('coding', 'v'), ('developer', 'n'), ('business', 'n'), ('softwaredeveloper', 'v'), ('programmer', 'a'), ('javascript', 'n'), ('python', 'n'), ('java', 'n'), ('computer', 'n'), ('html', 'n'), ('hardware', 'n'), ('webdevelopment', 'a'), ('tecnologia', 'n'), ('code', 'n'), ('webdeveloper', None), ('softwareengineer', 'n')]",Positive
24,24,Video: Here's The Story Behind The Cancelled Wii Plush Toy Game 'Wiiwaa' https://t.co/PoiJilzzPR #Repost #Wii #Hardware #Video https://t.co/rM4dtSLAuK,michael72441775,Mon Jun 20 17:36:13 +0000 2022,0,6,Video s Story Behind Cancelled Wii Plush Toy Game Wiiwaa Repost Wii Hardware Video ,"[('Video', 'n'), ('Story', 'n'), ('Behind', 'n'), ('Cancelled', 'n'), ('Wii', 'n'), ('Plush', 'n'), ('Toy', 'n'), ('Game', 'n'), ('Wiiwaa', 'n'), ('Repost', 'n'), ('Wii', 'n'), ('Hardware', 'n'), ('Video', 'n')]",Neutral
25,25,"Use Distractive Media to AMPLIFY your voter engagement!

#software #technology #programming #tech #coding #developer #business #softwaredeveloper #programmer #javascript #python #java #computer #html #hardware #webdevelopment #tecnologia #code #webdeveloper #softwareengineer https://t.co/92UXHue2UL",INCOGNTECH,Mon Jun 20 17:35:57 +0000 2022,0,9,Use Distractive Media AMPLIFY voter engagement software technology programming tech coding developer business softwaredeveloper programmer javascript python java computer html hardware webdevelopment tecnologia code webdeveloper softwareengineer ,"[('Use', 'n'), ('Distractive', 'n'), ('Media', 'n'), ('AMPLIFY', 'n'), ('voter', 'n'), ('engagement', 'n'), ('software', 'n'), ('technology', 'n'), ('programming', 'v'), ('tech', 'a'), ('coding', 'v'), ('developer', 'n'), ('business', 'n'), ('softwaredeveloper', 'v'), ('programmer', 'a'), ('javascript', 'n'), ('python', 'n'), ('java', 'n'), ('computer', 'n'), ('html', 'n'), ('hardware', 'n'), ('webdevelopment', 'a'), ('tecnologia', 'n'), ('code', 'n'), ('webdeveloper', None), ('softwareengineer', 'n')]",Positive
26,26,"Use Distractive Media to AMPLIFY your voter engagement!

#software #technology #programming #tech #coding #developer #business #softwaredeveloper #programmer #javascript #python #java #computer #html #hardware #webdevelopment #tecnologia #code #webdeveloper #softwareengineer https://t.co/92UXHue2UL",GoaiDev,Mon Jun 20 17:35:32 +0000 2022,0,9,Use Distractive Media AMPLIFY voter engagement software technology programming tech coding developer business softwaredeveloper programmer javascript python java computer html hardware webdevelopment tecnologia code webdeveloper softwareengineer ,"[('Use', 'n'), ('Distractive', 'n'), ('Media', 'n'), ('AMPLIFY', 'n'), ('voter', 'n'), ('engagement', 'n'), ('software', 'n'), ('technology', 'n'), ('programming', 'v'), ('tech', 'a'), ('coding', 'v'), ('developer', 'n'), ('business', 'n'), ('softwaredeveloper', 'v'), ('programmer', 'a'), ('javascript', 'n'), ('python', 'n'), ('java', 'n'), ('computer', 'n'), ('html', 'n'), ('hardware', 'n'), ('webdevelopment', 'a'), ('tecnologia', 'n'), ('code', 'n'), ('webdeveloper', None), ('softwareengineer', 'n')]",Positive
27,27,"Use Distractive Media to AMPLIFY your voter engagement!

#software #technology #programming #tech #coding #developer #business #softwaredeveloper #programmer #javascript #python #java #computer #html #hardware #webdevelopment #tecnologia #code #webdeveloper #softwareengineer https://t.co/92UXHue2UL",rahul05ranjan,Mon Jun 20 17:35:31 +0000 2022,0,9,Use Distractive Media AMPLIFY voter engagement software technology programming tech coding developer business softwaredeveloper programmer javascript python java computer html hardware webdevelopment tecnologia code webdeveloper softwareengineer ,"[('Use', 'n'), ('Distractive', 'n'), ('Media', 'n'), ('AMPLIFY', 'n'), ('voter', 'n'), ('engagement', 'n'), ('software', 'n'), ('technology', 'n'), ('programming', 'v'), ('tech', 'a'), ('coding', 'v'), ('developer', 'n'), ('business', 'n'), ('softwaredeveloper', 'v'), ('programmer', 'a'), ('javascript', 'n'), ('python', 'n'), ('java', 'n'), ('computer', 'n'), ('html', 'n'), ('hardware', 'n'), ('webdevelopment', 'a'), ('tecnologia', 'n'), ('code', 'n'), ('webdeveloper', None), ('softwareengineer', 'n')]",Positive
28,28,"Use Distractive Media to AMPLIFY your voter engagement!

#software #technology #programming #tech #coding #developer #business #softwaredeveloper #programmer #javascript #python #java #computer #html #hardware #webdevelopment #tecnologia #code #webdeveloper #softwareengineer https://t.co/92UXHue2UL",XeronBot,Mon Jun 20 17:35:30 +0000 2022,0,9,Use Distractive Media AMPLIFY voter engagement software technology programming tech coding developer business softwaredeveloper programmer javascript python java computer html hardware webdevelopment tecnologia code webdeveloper softwareengineer ,"[('Use', 'n'), ('Distractive', 'n'), ('Media', 'n'), ('AMPLIFY', 'n'), ('voter', 'n'), ('engagement', 'n'), ('software', 'n'), ('technology', 'n'), ('programming', 'v'), ('tech', 'a'), ('coding', 'v'), ('developer', 'n'), ('business', 'n'), ('softwaredeveloper', 'v'), ('programmer', 'a'), ('javascript', 'n'), ('python', 'n'), ('java', 'n'), ('computer', 'n'), ('html', 'n'), ('hardware', 'n'), ('webdevelopment', 'a'), ('tecnologia', 'n'), ('code', 'n'), ('webdeveloper', None), ('softwareengineer', 'n')]",Positive
29,29,"DC COMICS/MILESTONE TO PUBLISH ICON VS HARDWARE! Milestone Media continues onward into 2023, on DF NEWS! @DynamicForces @DCComics #MilestoneMedia #Icon #Hardware https://t.co/D2K0lKGHDA https://t.co/33vpDAZ7CW",j_cohl,Mon Jun 20 17:34:35 +0000 2022,0,2,DC COMICS MILESTONE PUBLISH ICON VS HARDWARE Milestone Media continues onward on DF NEWS MilestoneMedia Icon Hardware ,"[('DC', 'n'), ('COMICS', 'n'), ('MILESTONE', 'n'), ('PUBLISH', 'n'), ('ICON', 'n'), ('VS', 'n'), ('HARDWARE', 'n'), ('Milestone', 'n'), ('Media', 'n'), ('continues', 'v'), ('onward', 'r'), ('DF', 'n'), ('NEWS', 'n'), ('MilestoneMedia', 'n'), ('Icon', 'n'), ('Hardware', 'n')]",Neutral
30,30,"⭐Keynote Uploaded📺 Want to know how Joe ended up #hacking a💼 #hardware #wallet ? 

😎Watch this amazing Keynote talk by @joegrand &amp; experience the whole journey + setup &amp; interesting discoveries

Click to Play▶️https://t.co/jCxD2IZgr5

#hw_ioUSA2022 #hardwaresecurity #keynote",sparshz,Mon Jun 20 17:26:57 +0000 2022,0,2, Keynote Uploaded Want know Joe ended hacking hardware wallet Watch amazing Keynote talk amp experience whole journey setup amp interesting discoveries Click Play hw ioUSA hardwaresecurity keynote,"[('Keynote', 'n'), ('Uploaded', 'n'), ('Want', 'n'), ('know', 'v'), ('Joe', 'n'), ('ended', 'v'), ('hacking', 'v'), ('hardware', 'a'), ('wallet', 'n'), ('Watch', 'n'), ('amazing', 'v'), ('Keynote', 'n'), ('talk', 'n'), ('amp', 'n'), ('experience', 'n'), ('whole', 'a'), ('journey', 'n'), ('setup', 'n'), ('amp', None), ('interesting', 'v'), ('discoveries', 'n'), ('Click', 'n'), ('Play', 'n'), ('hw', None), ('ioUSA', 'a'), ('hardwaresecurity', 'n'), ('keynote', 'n')]",Negative
